Time,Trading Price - $/MWh,Temperature - C,Solar (Rooftop) - MW,Solar (Utility) - MW,Wind - MW,Gas (Reciprocating) - MW,Gas (OCGT) - MW,Gas (CCGT) - MW,Gas (Steam) - MW,Hydro - MW,Battery (Discharging) - MW,Distillate - MW,Biomass - MW,Brown Coal - MW,Black Coal - MW,Imports - MW,Exports - MW,Battery (Charging) - MW,Pumps - MW
2018-05-04 07:15,64.81,,0.18,0,1159.11,0,0,140.76,225.87,0,0,0.02,0,0,0,0,-169.31,0,0
2018-05-04 07:20,64.81,,0.18,0,1151.09,0,0,140.69,228.8,0,4.4,0.02,0,0,0,0,-119.43,0,0
2018-05-04 07:25,64.81,,0.18,0,1191.24,0,0,162.68,264.51,0,0.7,0.02,0,0,0,0,-151.13,0,0
2018-05-04 07:30,64.8,13.3,13.16,0,1175.96,0,0,182.42,249.14,0,0.5,0.02,0,0,0,0,-156.29,0,0
2018-05-04 07:35,64.8,,13.16,0,1138.52,0,0,184.65,234.57,0,0.9,0.02,0,0,0,0,-125.49,0,0
2018-05-04 07:40,64.8,,13.16,0,1140.3,0,0,180.12,247.51,0,2.5,0.02,0,0,0,0,-108.79,0,0
2018-05-04 07:45,64.8,,13.16,0,1130.05,0,0,176.47,236.51,0,1.8,0.02,0,0,0,0,-57.86,0,0
2018-05-04 07:50,64.8,,13.16,0,1164.29,0,0,168.81,234.23,0,2.8,0.02,0,0,0,0,-48.68,0,0
2018-05-04 07:55,64.8,,13.16,0,1180.32,0,0,182.88,220.01,0,1.4,0.02,0,0,0,0,-88.59,0,0
2018-05-04 08:00,67.35,14.7,51.34,0,1183.79,0,0,163.05,221.15,0,2.7,0.02,0,0,0,0,-62.58,0,0
2018-05-04 08:05,67.35,,51.34,0,1181.18,0,0,177.48,242.53,0,7.1,0.02,0,0,0,0,-44.83,0,0
2018-05-04 08:10,67.35,,51.34,0,1185.46,0,0,183.23,242.22,0,20.7,0.02,0,0,0,0,-49.74,0,0
2018-05-04 08:15,67.35,,51.34,0,1187.34,0,0,184.35,218.55,0,1.4,0.02,0,0,0,0,-32.18,0,0
2018-05-04 08:20,67.35,,51.34,0,1193.12,0,0,184.2,201.69,0,0.8,0.02,0,0,0,0,-43.7,0,0
2018-05-04 08:25,67.35,,51.34,0,1151.52,0,0,182.76,212.52,0,0.2,0.02,0,0,0,0,-1,0,0
2018-05-04 08:30,66.19,15,101.19,0,1156.92,0,0,182.34,207.19,0,1.4,0.02,0,0,0,4.94,0,0,0
2018-05-04 08:35,66.19,,101.19,0,1151.54,0,0,183.01,255.5,0,9.3,0.02,0,0,0,23.83,0,0,0
2018-05-04 08:40,66.19,,101.19,0,1159.13,0,0,182.26,245.52,0,2.8,0.02,0,0,0,0,-8.46,0,0
2018-05-04 08:45,66.19,,101.19,0,1117.1,0,0,182.81,220.46,0,8.3,0.02,0,0,0,11.81,0,0,0
2018-05-04 08:50,66.19,,101.19,0,1083.13,0,0,181.09,207.84,0,1.1,0.02,0,0,0,43.55,0,0,0
2018-05-04 08:55,66.19,,101.19,0,1073.59,0,0,183.14,237.74,0,5,0.02,0,0,0,51.53,0,0,0
2018-05-04 09:00,66.37,15.6,163.43,0,1085.15,0,0,182.91,211.75,0,1.4,0.02,0,0,0,9.9,0,0,0
2018-05-04 09:05,66.37,,163.43,0,1087.27,0,0,191.02,231.08,0,2.1,0.02,0,0,0,0,-0.28,0,0
2018-05-04 09:10,66.37,,163.43,0,1088.65,0,0,191.3,238.14,0,2.4,0.02,0,0,0,0,-14.79,0,0
2018-05-04 09:15,66.37,,163.43,0,1063.77,0,0,189.65,229.21,0,2.2,0.02,0,0,0,0,-2.93,0,0
2018-05-04 09:20,66.37,,163.43,0,1029.59,0,0,190.94,211.11,0,0.1,0.02,0,0,0,15.19,0,0,0
2018-05-04 09:25,66.37,,163.43,0,1042.4,0,0,191.02,219.57,0,0.4,0.02,0,0,0,2.78,0,0,0
2018-05-04 09:30,62.24,16.1,244.3,0,1068.54,0,0,190.82,221.85,0,2.2,0.02,0,0,0,0,-40.23,0,0
2018-05-04 09:35,62.24,,244.3,0,1103.8,0,0,191.19,221.8,0,0.7,0.02,0,0,0,0,-105.34,0,0
2018-05-04 09:40,62.24,,244.3,0,1150.33,0,0,169.47,207.02,0,0.1,0.02,0,0,0,0,-145.66,0,0
2018-05-04 09:45,62.24,,244.3,0,1129.45,0,0,151.05,197.76,0,0.1,0.02,0,0,0,0,-140.38,0,0
2018-05-04 09:50,62.24,,244.3,0,1091.25,0,0,148.83,216.86,0,2.6,0.02,0,0,0,0,-129.75,0,0
2018-05-04 09:55,62.24,,244.3,0,1101.01,0,0,148.73,211,0,0.3,0.02,0,0,0,0,-139.33,0,0
2018-05-04 10:00,55.08,16.1,326.34,0,1077.66,0,0,149.51,205.16,0,0.2,0.02,0,0,0,0,-153.88,0,0
2018-05-04 10:05,55.08,,326.34,0,1071.34,0,0,147.76,237.93,0,18.7,0.02,0,0,0,0,-170.45,0,0
